CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
35493,MUS,408,Analysis of Musical Form,D,LCD,120135,"Taube, Heinrich K",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30159,MUS,413,Music and Performance,A,LCD,120135,"Ziegel, Aaron B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37428,MUS,413,Music and Performance,B,LCD,120135,"Turino, Thomas R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37390,MUS,415,Music and Media,A,LCD,120135,"Magee, Gayle S",2,21,2,1,1,0,0,0,0,0,0,0,0,0,3.91
36858,MUS,440,Marching Band Procedures,A,LBD,120135,"Houser, Barry L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33541,MUS,441,Contemp Issues in Inst Mus Ed,A,LCD,120135,"Nichols, Jeananne B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30168,MUS,447,Intermediate Music Ed Tech,A,LCD,120135,"Thibeault, Matthew D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30166,MUS,450,Advanced Ensemble Music,A,PR,120135,"Rumbelow, Robert W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30191,MUS,532,Global Perspectives on Mus Ed,A,LCD,120135,"Denardo, Gregory F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30167,MUS,533,Research in Music Education,A,LCD,120135,"Sweet, Bridget M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37517,MUS,540,Graduate Wind Band Conducting,B,LBD,120135,"Leyva, Jesse J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33546,MUS,545,Topics in Music Education,C,LCD,120135,"Moorhouse, Linda",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37527,NRES,472,Environmental Psychology,XM3,ONL,120135,"Vining, Joanne",3,11,0,0,2,0,0,2,0,0,0,0,3,0,3.14
37509,NRES,499,Introduction to Silviculture,XM2,ONL,120135,"Woolery, Michael E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37528,NRES,598,Issues-Aquat Ecosystem Conserv,XM4,ONL,120135,"Taylor, Christopher A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37375,PATH,552,Diagnostic Cytology,A,LBD,120135,"Barger, Anne M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32945,PATH,556,Exotic/Wild Animal Diag Path 1,A,LBD,120135,"Kinsel, Michael J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32946,PATH,557,Exotic/Wild Animal Diag Path 2,A,LBD,120135,"Kinsel, Michael J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32947,PATH,558,Exotic/Wild Animal Path Sem,A,DIS,120135,"Kinsel, Michael J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32948,PATH,559,Surgical Pathology,A,LBD,120135,"Wallig, Matthew A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37408,PHIL,202,Symbolic Logic,A,LCD,120135,"McCarthy, Timothy G",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34769,PHIL,380,Sports & Philosophy,RC,LCD,120135,"Bowen, Adam J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30232,PHYS,101,College Physics: Mech & Heat,A,LEC,120135,"Shoaf, Curtis M",7,11,7,13,9,7,12,6,6,8,2,6,1,1,2.67
30239,PHYS,102,College Physics: E&M & Modern,A,LEC,120135,"Carrubba, James G",5,6,5,6,12,7,5,8,2,5,2,2,0,2,2.74
30254,PHYS,211,University Physics: Mechanics,A,LEC,120135,"Rosenblatt, Rebecca J",5,3,4,4,5,4,3,2,2,0,0,1,1,1,2.96
30264,PHYS,212,University Physics: Elec & Mag,A,LEC,120135,"Hassani, Sadri D",1,10,5,7,3,9,11,4,6,4,6,4,1,3,2.48
30275,PHYS,213,Univ Physics: Thermal Physics,A,LEC,120135,"Halfpap, Bradford L",9,10,8,5,10,5,2,2,6,0,0,2,3,1,2.99
30282,PHYS,214,Univ Physics: Quantum Physics,A,LEC,120135,"Halfpap, Bradford L",7,5,11,7,7,7,4,2,3,0,0,2,2,0,3
30315,PS,101,Intro to US Gov & Pol,R,LCD,120135,"Francis, Katherine A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36326,PS,200,Foundations of Pol Sci,ON2,ONL,120135,"Vander Most, Neil G",0,1,2,3,5,5,5,3,1,1,1,1,3,0,2.32
30320,PS,220,Intro to Public Policy,R,LCD,120135,"Ritchie, Melinda N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37588,PS,224,Politics of the National Parks,YST,ONL,120135,"Pahre, Robert D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36328,PS,225,Environmental Politics &Policy,ON2,ONL,120135,"Bowden, David F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33112,PS,240,Intro to Comp Politics,ABR,LCD,120135,"Estes, Kyle",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34821,PS,373,Democratic Theory,A,LCD,120135,"Seitz, Steven T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34822,PS,394,Crisis Diplomacy,A,CNF,120135,"Vasquez, John A",0,6,2,5,8,1,0,0,0,0,0,0,0,0,3.39
34453,PS,491,Internship,WA,CNF,120135,"Dimock, Susan C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37058,PSM,555,PSM Internship,FCR,LCD,120135,"Engeseth, Nicki J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37062,PSM,555,PSM Internship,TCR,LCD,120135,"Harper, Joe G",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31257,PSYC,100,Intro Psych,ONL,ONL,120135,"Toscano, Cheyenne M",4,4,4,11,10,12,5,11,5,1,2,0,3,1,2.65
34254,PSYC,201,Intro to Social Psych,S1,LEC,120135,"Hernandez, Jorge I",1,13,2,7,2,1,1,1,0,0,0,0,0,0,3.56
30330,PSYC,201,Intro to Social Psych,S2,LEC,120135,"Kim, Emily S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34255,PSYC,216,Child Psych,S1,LEC,120135,"Jin, Kyong Sun",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30332,PSYC,224,Cognitive Psych,S2,LEC,120135,"Braverman, Michael B",0,5,0,0,11,0,0,6,0,0,3,0,3,0,2.43
34780,PSYC,230,Perception & Sensory Processes,S1,LEC,120135,"Yamani, Yusuke",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30337,PSYC,238,Abnormal Psych,S2,LEC,120135,"Wang, Zhenni",0,2,5,2,6,2,2,1,1,0,0,0,1,0,2.94
33500,PSYC,248,Learning and Memory,S2,LEC,120135,"McKinley, Geoffrey L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33558,PSYC,363,Developmental Psych Lab,AL1,LEC,120135,"Sugimura, Niwako",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30354,RHET,105,Principles of Composition,X,LCD,120135,"Verderame, Michael C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37326,RHET,233,Principles of Composition,D,LCD,120135,"Stone, Jonathan W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29983,RLST,106,Archaeology and the Bible,A,LCD,120135,"Pitard, Wayne T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35079,RLST,110,World Religions,ADA,ONL,120135,"Raybeck, Nathan D",1,4,2,1,9,0,2,2,0,1,0,0,0,0,3.08
35081,RLST,110,World Religions,ADB,ONL,120135,"Raybeck, Nathan D",0,5,3,2,2,3,2,1,2,0,0,0,1,0,2.94
35083,RLST,110,World Religions,ADC,ONL,120135,"Raybeck, Nathan D",0,4,7,0,5,1,0,0,2,0,1,0,2,0,2.9
36932,RST,100,Society and Leisure,ONL,ONL,120135,"Paden, Lori Kay",13,25,9,4,3,2,2,1,1,1,0,0,0,0,3.65
36933,RST,130,Foundations of Sport Mgt,ONL,ONL,120135,"Hardin, Donald R",0,8,0,0,9,0,0,7,0,0,3,0,0,0,2.81
37434,RST,393,Sport & Philosophy,RC,LCD,120135,"Bowen, Adam J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35808,RST,501,Theories & Concepts of Leisure,XM1,ONL,120135,"Stodolska, Monika",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36185,RST,503,Adv Leisure Research Methods,XM,ONL,120135,"McDonald, Cary D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36186,RST,512,Human Resources in RST,XM,ONL,120135,"McDowell, Jacqueline",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
