CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
30748,ARTS,362,Photography Workshop,T1,LAB,120081,"Robbennolt, Linda F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30723,ARTS,392,Current Art Issues Seminar,T6,CNF,120081,"Schwartz, Rosalyn D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39807,ARTS,393,Contemporary Art and Ideas,A,LAB,120081,"Scott, Ernest D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30392,ARTS,410,Advanced Ceramics Sculpture,M7,LAB,120081,"Kovatch, Ronald R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30402,ARTS,412,Ceramics,M7X,LAB,120081,"Kovatch, Ronald R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30385,ARTS,430,Jewelry Metals V,MX,LAB,120081,"Theide, Billie J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30355,ARTS,443,Time Arts II,T7U,LAB,120081,"Weaver, David D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46823,ARTS,451,Advanced Studio II,M9C,LAB,120081,"Van Laar, Timothy J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30745,ARTS,460,Advanced Photography,T1,LAB,120081,"Scott, Ernest D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46734,ARTS,492,Contemporary Issues in Art,AO,LCD,120081,"Ellegood, Anne",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49453,ARTS,492,Contemporary Issues in Art,PU,LCD,120081,"Ellegood, Anne",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46781,ARTS,499,Special Topics in Studio Art,AD3,LAB,120081,"Schwartz, Rosalyn D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47113,ARTS,499,Special Topics in Studio Art,AD5,LAB,120081,"Griffis, Ryan",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46856,ARTS,499,Special Topics in Studio Art,AD7,LAB,120081,"Squier, Joseph C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46860,ARTS,499,Special Topics in Studio Art,AD8,LAB,120081,"Ross, Judi",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
