CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
30163,MUS,545,Workshop in Music Education,B,CNF,120065,"Wyatt, Scott A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30194,MUS,555,Advanced Choral Techniques I,A,LCD,120065,"Grant, Joe W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30203,MUS,580,Graduate Level Piano,E,CNF,120065,"Heiles, William H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33213,MUS,581,Graduate Level Voice,B,CNF,120065,"Siena, Jerold",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31344,MUS,589,Graduate Level Clarinet,A,CNF,120065,"Harris, James D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32904,MUS,590,Graduate Level Oboe,A,CNF,120065,"Dee, John",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31346,MUS,593,Graduate Level Trumpet,A,CNF,120065,"Ewald, Michael E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31347,MUS,594,Graduate Level Horn,A,CNF,120065,"Machala, Kazimierz W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30208,MUS,595,Graduate Level Trombone,A,CNF,120065,"Chasanov, Elliot L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30217,MUS,598,Graduate Level Percussion,A,CNF,120065,"Moersch, William",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30219,MUS,598,Graduate Level Percussion,B,CNF,120065,"Flores, Ricardo",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31350,MUS,598,Graduate Level Percussion,J2,CNF,120065,"Hall, Dana",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30222,NRES,285,Field Experience,REP,LAB,120065,"Endress, Anton G",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33110,NS,308,Leadership and Ethics,A,CNF,120065,"Allen, David L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33111,NS,308,Leadership and Ethics,B,CNF,120065,"Allen, David L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32943,PATH,545,Vet Diagnostic Path1,A,LBD,120065,"Pinkerton, Marie E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32948,PATH,559,Surgical Pathology,A,LBD,120065,"Haschek-Hock, Wanda M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32926,PATH,669,Veterinary Diagnostic Medicine,4,LBD,120065,"Lichtensteiger, Carol A",0,21,0,0,3,0,0,0,0,0,0,0,0,0,3.88
29976,PHIL,101,Introduction to Philosophy,A,LCD,120065,"Zusman, Steven A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30225,PHIL,101,Introduction to Philosophy,B,LCD,120065,"Melnick, Arthur",2,9,5,4,1,1,0,0,1,0,0,0,0,0,3.61
31155,PHIL,102,Logic and Reasoning,B,LCD,120065,"Krzyzewski, Christine S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30228,PHIL,105,Introduction to Ethics,D,LCD,120065,"Scoville, Michael",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30230,PHIL,206,Early Modern Philosophy,E,LCD,120065,"Melnick, Arthur",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30232,PHYS,101,"College Physics, Mech & Heat",A,LEC,120065,"Shoaf, Curtis M",9,6,4,5,4,2,3,4,2,1,1,1,1,4,3.02
30239,PHYS,102,"College Physics, E&M & Modern",A,LEC,120065,"Carrubba, James G",1,6,7,7,1,2,4,3,0,2,2,0,0,0,3.01
30254,PHYS,211,"Univ Physics, Mechanics",A,LEC,120065,"Davis, A D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30264,PHYS,212,"Univ Physics, Elec & Mag",A,LEC,120065,"Awobode, Ayodeji",2,4,2,4,5,5,4,2,2,2,2,2,0,1,2.66
30275,PHYS,213,"Univ Physics, Thermal Physics",A,LEC,120065,"Hassani, Sadri D",5,1,6,3,1,1,2,0,2,0,0,0,0,1,3.32
