CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
43392,CW,563,Creative Non-Fiction,DW,LCD,120121,"Wright, David",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56948,CWL,114,Global Consciousness and Lit,AD0,DIS,120121,"Chinchilla, Laura E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54990,CWL,114,Global Consciousness and Lit,AD1,DIS,120121,"Wane, Hapsatou",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54992,CWL,114,Global Consciousness and Lit,AD3,DIS,120121,"Dimock, Chase F",7,5,7,2,1,0,0,0,0,0,1,0,0,0,3.67
54993,CWL,114,Global Consciousness and Lit,AD4,DIS,120121,"Dimock, Chase F",6,9,1,5,1,0,1,1,0,0,0,0,0,0,3.65
54994,CWL,114,Global Consciousness and Lit,AD5,DIS,120121,"Lai, Pin-Chieh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54995,CWL,114,Global Consciousness and Lit,AD6,DIS,120121,"Dimock, Chase F",4,8,7,1,1,1,0,1,1,0,0,0,0,0,3.6
54996,CWL,114,Global Consciousness and Lit,AD7,DIS,120121,"Lai, Pin-Chieh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54997,CWL,114,Global Consciousness and Lit,AD8,DIS,120121,"Lai, Pin-Chieh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56947,CWL,114,Global Consciousness and Lit,AD9,DIS,120121,"Chinchilla, Laura E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45988,CWL,151,Cross-Cultural Thematics,JB,LCD,120121,"Bliss, Jennifer M",0,12,6,0,1,3,0,0,1,0,0,0,1,1,3.45
30971,CWL,190,Lit of Asia & Africa II,A,LEC,120121,"Mehta, Rini B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38740,CWL,199,Undergraduate Open Seminar,A,LCD,120121,"Tsitsopoulou, Vassiliki",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30979,CWL,202,Literature and Ideas,A,LCD,120121,"Gasyna, George Z",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52392,CWL,208,Lits & Cultures of South Asia,A,LCD,120121,"Mehta, Rini B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38879,CWL,242,Lit Europe and the Americas II,ADD,DIS,120121,"Dalle, Eric G",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38881,CWL,242,Lit Europe and the Americas II,ADF,DIS,120121,"Carr, Brandon J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38882,CWL,242,Lit Europe and the Americas II,ADG,DIS,120121,"Nelson, Matthew E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38884,CWL,242,Lit Europe and the Americas II,ADI,DIS,120121,"Nelson, Matthew E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38886,CWL,242,Lit Europe and the Americas II,ADK,DIS,120121,"Carr, Brandon J",6,9,5,0,0,0,0,0,1,0,1,0,0,0,3.68
50461,CWL,395,Literature and War,NB2,LCD,120121,"Blake, Nancy",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54472,CWL,395,Literature and War,NB4,LCD,120121,"Blake, Nancy",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31008,CWL,441,Kierkegaard,MS4,LCD,120121,"Safstrom, Mark D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38890,CWL,471,International Lit Relations,A,LCD,120121,"Hassan, Wail S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38887,CWL,502,Cross-Culture Comparison,A,LCD,120121,"Blake, Nancy",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47167,CWL,571,Seminar in Literary Relations,G4,LCD,120121,"Hassan, Wail S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46015,CWL,581,Aesthetics and Politics,A4,LCD,120121,"Nielsen, Kristine",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43227,CZCH,102,Elementary Czech II,CIC,LCD,120121,"Hutchens, Jack J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31784,CZCH,484,Readings in Czech,A,LCD,120121,"Sanogo, Veronika",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40256,DANC,100,Intro to Contemporary Dance,A,LEC,120121,"Simson, Kirstie",11,13,3,3,0,0,0,0,0,0,0,0,0,0,3.9
40270,DANC,100,Intro to Contemporary Dance,AAP,LEC,120121,"Kuper, Kate D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31805,DANC,100,Intro to Contemporary Dance,B,LEC,120121,"Johnston, Philip T",1,27,0,0,0,0,0,0,0,0,1,0,0,0,3.9
31807,DANC,100,Intro to Contemporary Dance,C,LEC,120121,"Monson, Jennifer",3,14,8,0,2,0,0,0,0,0,0,0,0,0,3.83
40255,DANC,100,Intro to Contemporary Dance,D,LEC,120121,"Totzke, Tami R",1,21,2,0,2,1,0,0,0,0,0,0,1,0,3.71
40306,DANC,100,Intro to Contemporary Dance,GC,LEC,120121,"Pastrana Santia, Nibia M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31808,DANC,101,Modern Dance I,A,LAB,120121,"Archibald, Renee E",17,6,3,2,0,0,0,0,0,0,0,0,1,0,3.78
31809,DANC,101,Making Dances,U11,LAB,120121,"Meyer, Johanna S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31810,DANC,102,Modern Dance II,A,LAB,120121,"Brandt, Elizabeth A",6,15,3,1,0,0,0,0,0,0,0,0,0,0,3.93
53031,DANC,102,Making Dances,MD,LAB,120121,"Walter, Rebecca M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31811,DANC,105,Jazz 1,A,LAB,120121,"Archibald, Renee E",8,15,7,0,1,0,0,0,0,0,0,0,0,0,3.89
31814,DANC,105,Hip Hop I,U12,LAB,120121,"Simson, Kirstie",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31816,DANC,106,Jazz Dance II,A,LAB,120121,"Brandt, Elizabeth A",9,12,1,2,2,0,0,0,0,0,0,0,0,0,3.86
31818,DANC,107,Ballet I,A,LAB,120121,"Walter, Rebecca M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31820,DANC,108,Ballet II,A,LAB,120121,"Lehovec, Linda M",0,14,5,4,4,0,0,0,0,0,0,0,0,0,3.69
31821,DANC,109,Ballet III,A,LAB,120121,"Chiaramonte, Laura J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31822,DANC,120,Tap Dance I,A,LAB,120121,"Wadleigh, Renee",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31826,DANC,131,Production Practicum I,DP,LAB,120121,"Esperance, Linda",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31827,DANC,131,Video Crew,VC,LAB,120121,"Kelley, Kathleen M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31828,DANC,160,Beginning Modern Tech Core,C,LAB,120121,"Nettl-Fiol, Rebecca C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40776,DANC,162,Improvisation I,A,LAB,120121,"Simson, Kirstie",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40777,DANC,166,Beginning Ballet Tech Core,JD,LAB,120121,"Dayger, John",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51227,DANC,167,Beginning Ballet Tech Elect,CC,LAB,120121,"Choate-Heretoiu, Catrina",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
