CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
32004,LING,100,Intro to Language Science,AD3,DIS,120078,"Koo, Hahn",0,3,5,5,0,0,2,4,1,3,1,0,0,0,2.76
45355,LING,111,Language in Globalization,A,LCD,120078,"Bhatt, Rakesh M",1,16,7,11,16,4,3,3,2,1,2,0,0,0,3.16
32014,LING,210,Language History,AD2,DIS,120078,"Hock, Hans H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32016,LING,210,Language History,AD3,DIS,120078,"Slade, Benjamin M",0,5,9,6,2,0,0,0,0,0,1,0,0,0,3.48
32018,LING,210,Language History,AD4,DIS,120078,"Slade, Benjamin M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40575,LING,210,Language History,AD5,DIS,120078,"Lee, Eun Kyung",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50125,LING,210,Language History,AD7,DIS,120078,"Lee, Eun Kyung",0,7,9,6,1,0,1,0,0,0,0,0,0,0,3.6
32020,LING,225,Elements of Psycholinguistics,AD1,DIS,120078,"Kim, Ji H",7,8,5,2,2,2,1,1,0,0,0,0,0,0,3.6
32021,LING,225,Elements of Psycholinguistics,AD2,DIS,120078,"Kim, Ji H",2,10,4,3,0,1,3,1,1,0,0,1,0,0,3.33
32022,LING,225,Elements of Psycholinguistics,AD3,DIS,120078,"Cho, Hee Youn",3,3,2,6,1,3,1,1,0,0,0,2,2,0,2.83
40360,LING,240,Language in Human History,B,LCD,120078,"Hock, Hans H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50500,LING,301,Elements of Syntax,B1,LCD,120078,"Yoon, Hye Suk J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30893,LING,307,Elmnts Semantics & Pragmatics,A,LCD,120078,"Girju, Corina R",0,8,8,5,4,0,3,2,0,0,2,0,0,0,3.22
33271,LING,400,Intro to Linguistic Structure,G2,LCD,120078,"Lasersohn, Peter N",2,5,5,1,6,4,3,0,0,0,0,0,0,0,3.24
30894,LING,401,Intro to General Phonetics,G,LCD,120078,"Shosted, Ryan K",4,12,8,2,2,3,1,2,1,0,0,2,0,0,3.32
43108,LING,402,Tools & Tech Spch & Lang Proc,A,LCD,120078,"Girju, Corina R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32052,LING,404,Tutorials in Non-Western Lang,A,LCD,120078,"Hlongwa, Tholani S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32056,LING,404,Tutorials in Non-Western Lang,B,LCD,120078,"Some-Guiebre, Wen-Yam E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49010,LING,410,Historical Linguistics,A1,LCD,120078,"Hualde, Jose I",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43087,LING,412,Lang in African Culture & Soc,A,LEC,120078,"Bokamba, Eyamba G",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35282,LING,450,Sociolinguistics I,F,LCD,120078,"Terkourafi, Marina",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30896,LING,501,Syntax I,L,LCD,120078,"Arregui-Urbina, Karlos",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30897,LING,502,Phonology I,E,LCD,120078,"Cole, Jennifer S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
